ngrams,freq,prop
year new ,24,1.07E-05
week can ,24,1.07E-05
day use ,24,1.07E-05
rt see ,24,1.07E-05
wat u ,24,1.07E-05
see goe ,24,1.07E-05
see see ,24,1.07E-05
just kill ,24,1.07E-05
cuz u ,24,1.07E-05
hate get ,24,1.07E-05
job get ,23,1.03E-05
see know ,23,1.03E-05
rt lol ,23,1.03E-05
kid can ,23,1.03E-05
even see ,23,1.03E-05
now haha ,23,1.03E-05
week week ,23,1.03E-05
san fran ,23,1.03E-05
see now ,23,1.03E-05
lol tri ,23,1.03E-05
come know ,23,1.03E-05
soon know ,23,1.03E-05
five day ,23,1.03E-05
tax cut ,23,1.03E-05
god damn ,23,1.03E-05
way way ,23,1.03E-05
can done ,23,1.03E-05
u one ,23,1.03E-05
come us ,23,1.03E-05
d go ,23,1.03E-05
see rt ,23,1.03E-05
use say ,23,1.03E-05
say say ,23,1.03E-05
life go ,23,1.03E-05
far can ,23,1.03E-05
anyth just ,23,1.03E-05
may abl ,23,1.03E-05
fun rt ,23,1.03E-05
old day ,23,1.03E-05
just fun ,23,1.03E-05
ask can ,23,1.03E-05
yes go ,23,1.03E-05
get two ,23,1.03E-05
just cut ,23,1.03E-05
d lol ,22,9.84E-06
st day ,22,9.84E-06
year life ,22,9.84E-06
let just ,22,9.84E-06
say hey ,22,9.84E-06
im done ,22,9.84E-06
mayb one ,22,9.84E-06
one tri ,22,9.84E-06
begin end ,22,9.84E-06
old one ,22,9.84E-06
run mile ,22,9.84E-06
hear say ,22,9.84E-06
know haha ,22,9.84E-06
get bad ,22,9.84E-06
kid just ,22,9.84E-06
way one ,22,9.84E-06
know yet ,22,9.84E-06
also call ,22,9.84E-06
rt big ,22,9.84E-06
mile run ,22,9.84E-06
say got ,22,9.84E-06
use now ,22,9.84E-06
man go ,22,9.84E-06
say new ,22,9.84E-06
woot woot ,22,9.84E-06
now oh ,22,9.84E-06
life one ,22,9.84E-06
can bare ,22,9.84E-06
also got ,22,9.84E-06
put hand ,22,9.84E-06
o o ,22,9.84E-06
say get ,22,9.84E-06
tri one ,22,9.84E-06
now now ,22,9.84E-06
enjoy life ,22,9.84E-06
use know ,22,9.84E-06
put new ,22,9.84E-06
cant get ,22,9.84E-06
may come ,22,9.84E-06
save us ,21,9.39E-06
bad just ,21,9.39E-06
man know ,21,9.39E-06
