name,freq
tournament,230
button,229
jackson,229
refus,229
separ,229
ugli,229
desir,228
dish,228
farm,228
global,228
hat,228
path,228
shock,228
burger,227
failur,227
pressur,227
soup,227
audit,226
reserv,226
resourc,226
regist,225
argu,224
closer,224
dalla,224
everywher,224
prison,224
spell,224
stone,224
teen,224
wave,224
drama,223
edg,223
fabul,223
frank,223
function,223
martin,223
menu,223
regard,223
usa,223
theater,222
fool,221
fox,221
upset,221
fee,220
frustrat,220
mental,220
pet,220
pour,220
santa,220
tim,220
ador,219
ear,219
flow,219
guid,219
horribl,219
novemb,219
punch,219
taco,219
francisco,218
pump,218
safeti,218
appeal,217
chick,217
constant,217
contribut,217
plane,217
strength,217
yup,217
assum,216
championship,216
chip,216
easili,216
cell,215
golden,215
pink,215
voter,215
bob,214
complex,214
fourth,214
leadership,214
potato,214
valley,214
british,213
eight,213
februari,213
neither,213
object,213
soccer,213
strang,213
weak,213
contain,212
decemb,212
evid,212
homework,212
mission,212
there’s,212
milk,211
victim,211
ate,210
bell,210
butter,210
grace,210
shift,210
shoutout,209
thanksgiv,209
adventur,208
innov,208
introduc,208
stadium,208
august,207
buck,207
histor,207
hunt,207
sandwich,207
uniqu,207
valentin,207
fellow,206
hero,206
highlight,206
angri,205
cousin,205
he’s,205
noon,205
altern,204
aww,204
background,204
bomb,204
cancel,204
chair,204
chines,204
gather,204
licens,204
mama,204
queen,204
solid,204
tiger,204
whenev,204
afford,203
circl,203
comedi,203
gotten,203
immigr,203
juic,203
junior,203
militari,203
recogn,203
scari,203
suppli,203
trail,203
abus,202
inning,202
math,202
photograph,202
strike,202
tight,202
toni,202
vehicl,202
aveng,201
brew,201
chapter,201
conserv,201
guitar,201
predict,201
sudden,201
advertis,200
dirti,200
empti,200
exhibit,200
explor,200
hoe,200
lmfao,200
map,200
michigan,200
nail,200
ray,200
ultim,200
complain,199
convinc,199
display,199
huh,199
protest,199
van,199
arizona,198
bare,198
butt,198
cheap,198
davi,198
debt,198
def,198
foundat,198
heavi,198
jean,198
seed,198
stamp,198
centuri,197
