ngrams ,freq,prop
got see one newark ,1,4.47E-07
m hey oh hey ,1,4.47E-07
don鈥檛 let kid sit ,1,4.47E-07
got sens ff got ,1,4.47E-07
th hey ok pray ,1,4.47E-07
hear toni de la ,1,4.47E-07
tri eat um idk ,1,4.47E-07
pay god j t ,1,4.47E-07
die oh yea pm ,1,4.47E-07
yes ep s say ,1,4.47E-07
s w t c ,1,4.47E-07
bad old day way ,1,4.47E-07
nut d eat s ,1,4.47E-07
mom say bout go ,1,4.47E-07
job wat luv set ,1,4.47E-07
see wat got n ,1,4.47E-07
vote just eat hand ,1,4.47E-07
sex da way just ,1,4.47E-07
get know websit one ,1,4.47E-07
omg six year ago ,1,4.47E-07
day send way life ,1,4.47E-07
tv god hate job ,1,4.47E-07
union union omg fam ,1,4.47E-07
got done wit pizza ,1,4.47E-07
feet dnt care jayz ,1,4.47E-07
win now tie jim ,1,4.47E-07
just saw job news ,1,4.47E-07
mil u can tear ,1,4.47E-07
say yes anyth just ,1,4.47E-07
rt mm yup o ,1,4.47E-07
just call son �?,1,4.47E-07
just senior year hate ,1,4.47E-07
got two week get ,1,4.47E-07
danc danc ad even ,1,4.47E-07
franc say u r ,1,4.47E-07
lax fli intl got ,1,4.47E-07
run job pay year ,1,4.47E-07
one son god know ,1,4.47E-07
just saw thx im ,1,4.47E-07
ah hate see sad ,1,4.47E-07
feed log now log ,1,4.47E-07
job that鈥檚 ok it鈥檚 ,1,4.47E-07
haha ew fan ok ,1,4.47E-07
revenu get st loui ,1,4.47E-07
dm send wks ago ,1,4.47E-07
r u come tx ,1,4.47E-07
go red sox welcom ,1,4.47E-07
ma tv just can ,1,4.47E-07
uh idk ha till ,1,4.47E-07
lot day doesnt end ,1,4.47E-07
link new tab let ,1,4.47E-07
ask lot us even ,1,4.47E-07
one lolz luv ya ,1,4.47E-07
hot humid day la ,1,4.47E-07
handl two boy p ,1,4.47E-07
warm soon enjoy day ,1,4.47E-07
ok just kid vote ,1,4.47E-07
lie see smile ugh ,1,4.47E-07
haha haha hate bro ,1,4.47E-07
car come say mom ,1,4.47E-07
part go fav icon ,1,4.47E-07
now馃槼 wow new year ,1,4.47E-07
warp assum send messag ,1,4.47E-07
way cup butter melt ,1,4.47E-07
use plus got ipad ,1,4.47E-07
day yup r u ,1,4.47E-07
bad rat mr fun ,1,4.47E-07
one guy defi odd ,1,4.47E-07
rat get u jus ,1,4.47E-07
hash oil hash wax ,1,4.47E-07
websit rt abl see ,1,4.47E-07
get touch q tim ,1,4.47E-07
d just ad new ,1,4.47E-07
year also see new ,1,4.47E-07
say now let鈥檚 get ,1,4.47E-07
sad know cant anyth ,1,4.47E-07
just got rob lol ,1,4.47E-07
now ya know go ,1,4.47E-07
oh doesn鈥檛 know ww ,1,4.47E-07
cup ml gm oz ,1,4.47E-07
wed oct pm even ,1,4.47E-07
matur know fun get ,1,4.47E-07
vote chris mann ok ,1,4.47E-07
鈥c just go say ,1,4.47E-07
get one jar put ,1,4.47E-07
hi rep pdx now ,1,4.47E-07
pod se nd say ,1,4.47E-07
lol got th row ,1,4.47E-07
let get ur ill ,1,4.47E-07
come see u new ,1,4.47E-07
鈥c cabl man 馃敟鈥d ,1,4.47E-07
lesson life life can ,1,4.47E-07
one tri big pant ,1,4.47E-07
uh oh frm sea ,1,4.47E-07
skc fan tri go ,1,4.47E-07
know i鈥檓 new don鈥檛 ,1,4.47E-07
go chris knock til ,1,4.47E-07
oh old san juan ,1,4.47E-07
app co os co ,1,4.47E-07
d dog bark park ,1,4.47E-07
hit gym eat big ,1,4.47E-07
fan nfl can see ,1,4.47E-07
lol lil gay ass ,1,4.47E-07
hot hot hot say ,1,4.47E-07
go week now come ,1,4.47E-07
one big trip wed ,1,4.47E-07
bar low men even ,1,4.47E-07
til day die son ,1,4.47E-07
x box mw call ,1,4.47E-07
ep per day just ,1,4.47E-07
day lot fun warm ,1,4.47E-07
eye one day c ,1,4.47E-07
tix gr org u ,1,4.47E-07
let cool just bit ,1,4.47E-07
haha know bro got ,1,4.47E-07
gone st set end ,1,4.47E-07
us oh man new ,1,4.47E-07
t til meet boy ,1,4.47E-07
can year now can ,1,4.47E-07
go lie lie lie ,1,4.47E-07
use yolo anyth fall ,1,4.47E-07
haha hey u big ,1,4.47E-07
new job end may ,1,4.47E-07
set bar set high ,1,4.47E-07
go air year old ,1,4.47E-07
farm sun may p ,1,4.47E-07
c yea man save ,1,4.47E-07
re use fb use ,1,4.47E-07
man go get one ,1,4.47E-07
call didn鈥檛 go way鈥欌�?,1,4.47E-07
til end far lol ,1,4.47E-07
job pen go sox ,1,4.47E-07
alli b bet done ,1,4.47E-07
style cri hate sad ,1,4.47E-07
oh wow u can ,1,4.47E-07
�?just run anyth ,1,4.47E-07
go let us know ,1,4.47E-07
come p just got ,1,4.47E-07
yet haha ima b ,1,4.47E-07
two year sinc i鈥檝 ,1,4.47E-07
bus bud even damn ,1,4.47E-07
care gm now man ,1,4.47E-07
go lie �?sex鈥d ,1,4.47E-07
come see us gym ,1,4.47E-07
nc b vote let ,1,4.47E-07
heheh go gym get ,1,4.47E-07
get car chat buy ,1,4.47E-07
th go cri hey ,1,4.47E-07
just got key new ,1,4.47E-07
now xd bro get ,1,4.47E-07
nd day w aa ,1,4.47E-07
day soo far顎㈩尐顚 now ,1,4.47E-07
bed know brat brat ,1,4.47E-07
old r u josh ,1,4.47E-07
tip hat that�?enjoy ,1,4.47E-07
gut dt mlb s ,1,4.47E-07
anyth haters鈥ust put men ,1,4.47E-07
haha ya mad messag ,1,4.47E-07
haha randi get kill ,1,4.47E-07
haha man one way ,1,4.47E-07
dd 鈥c just saw ,1,4.47E-07
war 鈥淚 don鈥檛 know ,1,4.47E-07
rt eat fri n ,1,4.47E-07
go see see hear ,1,4.47E-07
new get use know ,1,4.47E-07
just rant get rape ,1,4.47E-07
�?got win pre ,1,4.47E-07
ok know one get ,1,4.47E-07
mark rd town trip ,1,4.47E-07
knock park knew anyth ,1,4.47E-07
gb bad guy st ,1,4.47E-07
soy de la cd ,1,4.47E-07
bench hear ya got ,1,4.47E-07
two top day till ,1,4.47E-07
seat get way day ,1,4.47E-07
sinc day one tad ,1,4.47E-07
got goin week one ,1,4.47E-07
oh car seat luv ,1,4.47E-07
put tv kid day ,1,4.47E-07
can save tag link ,1,4.47E-07
im die know air ,1,4.47E-07
none town judg red ,1,4.47E-07
heat add onion pan ,1,4.47E-07
l disrupt wks due ,1,4.47E-07
bed tv just can ,1,4.47E-07
bye mr pizza guy ,1,4.47E-07
huh cool mayb see ,1,4.47E-07
year la nyc rt ,1,4.47E-07
damn get car fix ,1,4.47E-07
yes yes even abl ,1,4.47E-07
go far rt thx ,1,4.47E-07
dog just bust lip ,1,4.47E-07
say sad see go ,1,4.47E-07
done i鈥檓 go tri ,1,4.47E-07
ad tax mill year ,1,4.47E-07
rt acr pizza eaten ,1,4.47E-07
r hear see day ,1,4.47E-07
lap danc just sit ,1,4.47E-07
just say hi 馃槉馃槝 ,1,4.47E-07
week charm fun one ,1,4.47E-07
run ir now vote ,1,4.47E-07
god got tabl chart ,1,4.47E-07
day come 鈾モ櫏鈾 aww ,1,4.47E-07
cp vs toni p ,1,4.47E-07
camp big kid camp ,1,4.47E-07
ass lol yep got ,1,4.47E-07
go oh man now ,1,4.47E-07
car can get rt ,1,4.47E-07
soon gone got new ,1,4.47E-07
cuz mf wit day ,1,4.47E-07
day know abl fix ,1,4.47E-07
sec row k seat ,1,4.47E-07
gop mug n bun ,1,4.47E-07
go park lot cant ,1,4.47E-07
way leo got sit ,1,4.47E-07
say hey see way ,1,4.47E-07
wtf now sad even ,1,4.47E-07
doo doo wah wah ,1,4.47E-07
r l g s ,1,4.47E-07
d heheh rt prep ,1,4.47E-07
say year ive met ,1,4.47E-07
new year oh ok ,1,4.47E-07
cc hey guy nyc ,1,4.47E-07
oh o danc p ,1,4.47E-07
just h one tt ,1,4.47E-07
tour come now eat ,1,4.47E-07
guy just hate yu ,1,4.47E-07
old im new old ,1,4.47E-07
mp eh ok just ,1,4.47E-07
jar lid minut two ,1,4.47E-07
ing al fan way ,1,4.47E-07
week wow way go ,1,4.47E-07
cool logo can get ,1,4.47E-07
now can say know ,1,4.47E-07
now 鈾ab tri see ,1,4.47E-07
dad third gas gas ,1,4.47E-07
鈥c dnt care bout ,1,4.47E-07
got judg big ol ,1,4.47E-07
bt kno u gt ,1,4.47E-07
couch now lol atmospher ,1,4.47E-07
now they鈥檙 tri kill ,1,4.47E-07
grip 馃憣 new year ,1,4.47E-07
get yet don鈥檛 beg ,1,4.47E-07
now day bs wit ,1,4.47E-07
come see us know ,1,4.47E-07
cat guy know you鈥檙 ,1,4.47E-07
call yet set date ,1,4.47E-07
now rt say lot ,1,4.47E-07
judg save r go ,1,4.47E-07
d haha got cool ,1,4.47E-07
get high af ask ,1,4.47E-07
dat cool see guy ,1,4.47E-07
im go la call ,1,4.47E-07
rep six year ago ,1,4.47E-07
ew 馃槩 鈥c kid ,1,4.47E-07
y know can fix ,1,4.47E-07
sad sad sad big ,1,4.47E-07
butter see ya soon ,1,4.47E-07
duh els march lol ,1,4.47E-07
man done year ago ,1,4.47E-07
son win welcom new ,1,4.47E-07
news bout ep r ,1,4.47E-07
park just day way ,1,4.47E-07
now ok can let ,1,4.47E-07
know got bed rt ,1,4.47E-07
鈥d can oz dice ,1,4.47E-07
anyth rt judg chris ,1,4.47E-07
tri send messag dd ,1,4.47E-07
get one see haha ,1,4.47E-07
lil bit o lil ,1,4.47E-07
style got ds can ,1,4.47E-07
new year one less ,1,4.47E-07
s year ago yes ,1,4.47E-07
go bed soon lol ,1,4.47E-07
even enjoy go bed ,1,4.47E-07
us rock yep def ,1,4.47E-07
haha b yes sir ,1,4.47E-07
鈥c done lot bad ,1,4.47E-07
bad day 馃憤 way ,1,4.47E-07
let get omg rt ,1,4.47E-07
go websit soon goe ,1,4.47E-07
go armi aw tour ,1,4.47E-07
sea boom town also ,1,4.47E-07
wit wow see come ,1,4.47E-07
get secur deck ship ,1,4.47E-07
man 馃憣 just kid ,1,4.47E-07
can teach son鈥檚 men ,1,4.47E-07
pray year nd got ,1,4.47E-07
cri now can add ,1,4.47E-07
鈥c lol sad bet ,1,4.47E-07
hip hop die boy ,1,4.47E-07
th th just got ,1,4.47E-07
win mvp u gone ,1,4.47E-07
way hot ok mayb ,1,4.47E-07
bout u cool new ,1,4.47E-07
can go day week ,1,4.47E-07
sat wow day march ,1,4.47E-07
now wow get one ,1,4.47E-07
dec rd �?ask ,1,4.47E-07
m frm r u ,1,4.47E-07
get lol day till ,1,4.47E-07
u know lol call ,1,4.47E-07
hate abl see get ,1,4.47E-07
know nyc come link ,1,4.47E-07
lot go get lot ,1,4.47E-07
r u y u ,1,4.47E-07
wtf even say smh ,1,4.47E-07
risk rt welcom new ,1,4.47E-07
see us day prez ,1,4.47E-07
can鈥檛 even hear us ,1,4.47E-07
dog year see vet ,1,4.47E-07
arm way got sing ,1,4.47E-07
u yea u u ,1,4.47E-07
�?鈥淲e鈥檙 one two ,1,4.47E-07
fli yo cant send ,1,4.47E-07
d p t just ,1,4.47E-07
jk oo top gun ,1,4.47E-07
bout chill deck n ,1,4.47E-07
ds mm set len ,1,4.47E-07
door pm age s ,1,4.47E-07
cool ok can skype ,1,4.47E-07
got mile pace run ,1,4.47E-07
win d go get ,1,4.47E-07
oh see say u ,1,4.47E-07
hear ya im just ,1,4.47E-07
year hey know fb ,1,4.47E-07
art 鈥c just get ,1,4.47E-07
cool let know can ,1,4.47E-07
abl see soon new ,1,4.47E-07
rt bad one bad ,1,4.47E-07
rt son just save ,1,4.47E-07
n sis dat peach ,1,4.47E-07
even lie yo bout ,1,4.47E-07
one old ass men ,1,4.47E-07
life soon know date ,1,4.47E-07
w come yep just ,1,4.47E-07
way goin get new ,1,4.47E-07
come year just go ,1,4.47E-07
put lid boil pot ,1,4.47E-07
say ted bet chat ,1,4.47E-07
got mom old one ,1,4.47E-07
also abl get us ,1,4.47E-07
ave st loui mo ,1,4.47E-07
l o w mt ,1,4.47E-07
u saw page one ,1,4.47E-07
el oh el can ,1,4.47E-07
now use year ago ,1,4.47E-07
